,trip_date,time_indicator,trips,Day,Weekday ,Holiday ,Month,Season
579,19/3/19,AM Period,11886,TUESDAY,WEEKDAY,0,3,Spring
1211,19/3/19,Night,8461,TUESDAY,WEEKDAY,0,3,Spring
111,20/3/19,Lunch Period,11953,WEDNESDAY,WEEKDAY,0,3,Spring
665,20/3/19,Night,9606,WEDNESDAY,WEEKDAY,0,3,Spring
769,20/3/19,PM Period,21611,WEDNESDAY,WEEKDAY,0,3,Spring
831,20/3/19,AM Period,13583,WEDNESDAY,WEEKDAY,0,3,Spring
260,21/3/19,Lunch Period,12073,THURSDAY,WEEKDAY,0,3,Spring
425,21/3/19,Night,10331,THURSDAY,WEEKDAY,0,3,Spring
477,21/3/19,PM Period,22963,THURSDAY,WEEKDAY,0,3,Spring
767,21/3/19,AM Period,12593,THURSDAY,WEEKDAY,0,3,Spring
112,22/3/19,PM Period,22807,FRIDAY,WEEKDAY,0,3,Spring
381,22/3/19,Night,11590,FRIDAY,WEEKDAY,0,3,Spring
526,22/3/19,AM Period,10640,FRIDAY,WEEKDAY,0,3,Spring
1044,22/3/19,Lunch Period,11419,FRIDAY,WEEKDAY,0,3,Spring
56,23/3/19,AM Period,4092,SATURDAY,WEEKEND,0,3,Spring
582,23/3/19,PM Period,13081,SATURDAY,WEEKEND,0,3,Spring
774,23/3/19,Night,13077,SATURDAY,WEEKEND,0,3,Spring
947,23/3/19,Lunch Period,6210,SATURDAY,WEEKEND,0,3,Spring
209,24/3/19,AM Period,4725,SUNDAY,WEEKEND,0,3,Spring
215,24/3/19,PM Period,9908,SUNDAY,WEEKEND,0,3,Spring
625,24/3/19,Lunch Period,5574,SUNDAY,WEEKEND,0,3,Spring
1045,24/3/19,Night,11465,SUNDAY,WEEKEND,0,3,Spring
65,25/3/19,Lunch Period,9207,MONDAY,WEEKDAY,0,3,Spring
620,25/3/19,PM Period,17372,MONDAY,WEEKDAY,0,3,Spring
833,25/3/19,Night,7343,MONDAY,WEEKDAY,0,3,Spring
1148,25/3/19,AM Period,10466,MONDAY,WEEKDAY,0,3,Spring
115,26/3/19,AM Period,10403,TUESDAY,WEEKDAY,0,3,Spring
370,26/3/19,Lunch Period,9970,TUESDAY,WEEKDAY,0,3,Spring
826,26/3/19,PM Period,18885,TUESDAY,WEEKDAY,0,3,Spring
1247,26/3/19,Night,8318,TUESDAY,WEEKDAY,0,3,Spring
164,27/3/19,Lunch Period,10282,WEDNESDAY,WEEKDAY,0,3,Spring
427,27/3/19,PM Period,19132,WEDNESDAY,WEEKDAY,0,3,Spring
428,27/3/19,AM Period,10548,WEDNESDAY,WEEKDAY,0,3,Spring
1421,27/3/19,Night,8588,WEDNESDAY,WEEKDAY,0,3,Spring
163,28/3/19,Night,10171,THURSDAY,WEEKDAY,0,3,Spring
328,28/3/19,Lunch Period,10241,THURSDAY,WEEKDAY,0,3,Spring
1158,28/3/19,AM Period,10011,THURSDAY,WEEKDAY,0,3,Spring
1207,28/3/19,PM Period,20986,THURSDAY,WEEKDAY,0,3,Spring
165,29/3/19,AM Period,9417,FRIDAY,WEEKDAY,0,3,Spring
372,29/3/19,Lunch Period,10362,FRIDAY,WEEKDAY,0,3,Spring
